discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,Italy,,,Italy,IT,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,Hungary,,,Hungary,HU,HUN
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/semen-elistratov,Semen ELISTRATOV,ROC,ROC,ROC
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,,https://olympics.com/en/athletes/daeheon-hwang,Daeheon HWANG,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,,https://olympics.com/en/athletes/steven-dubois,Steven DUBOIS,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ren,Ziwei REN,People's Republic of China,CN,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete,,https://olympics.com/en/athletes/wenlong-li,Wenlong LI,People's Republic of China,CN,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/shaoang-liu,Shaoang LIU,Hungary,HU,HUN
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,GOLD,GameTeam,Netherlands,,,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,SILVER,GameTeam,Republic of Korea,,,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,BRONZE,GameTeam,People's Republic of China,,,People's Republic of China,CN,CHN
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,GOLD,Athlete,,https://olympics.com/en/athletes/suzanne-schulting,Suzanne SCHULTING,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,SILVER,Athlete,,https://olympics.com/en/athletes/choi-minjeong,Minjeong CHOI,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/hanne-desmet,Hanne DESMET,Belgium,BE,BEL
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,GOLD,Athlete,,https://olympics.com/en/athletes/choi-minjeong,Minjeong CHOI,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/suzanne-schulting,Suzanne SCHULTING,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,SILVER,Athlete,,https://olympics.com/en/athletes/arianna-fontana,Arianna FONTANA,Italy,IT,ITA
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete,,https://olympics.com/en/athletes/queralt-castellet,Queralt CASTELLET,Spain,ES,ESP
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/tomita,Sena TOMITA,Japan,JP,JPN
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete,,https://olympics.com/en/athletes/chloe-kim,Chloe KIM,United States of America,US,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,https://olympics.com/en/athletes/nick-baumgartner,Nick BAUMGARTNER,United States of America,US,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,https://olympics.com/en/athletes/lindsey-jacobellis,Lindsey JACOBELLIS,United States of America,US,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,https://olympics.com/en/athletes/omar-visintin,Omar VISINTIN,Italy,IT,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,https://olympics.com/en/athletes/michela-moioli,Michela MOIOLI,Italy,IT,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,https://olympics.com/en/athletes/eliot-grondin,Eliot GRONDIN,Canada,CA,CAN
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,https://olympics.com/en/athletes/meryeta-odine,Meryeta ODINE,Canada,CA,CAN
Snowboard,beijing-2022,Women's Snowboard Cross,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/meryeta-odine,Meryeta ODINE,Canada,CA,CAN
Snowboard,beijing-2022,Women's Snowboard Cross,Women,SILVER,Athlete,,https://olympics.com/en/athletes/chloe-trespeuch,Chloe TRESPEUCH,France,FR,FRA
Snowboard,beijing-2022,Women's Snowboard Cross,Women,GOLD,Athlete,,https://olympics.com/en/athletes/lindsey-jacobellis,Lindsey JACOBELLIS,United States of America,US,USA
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,SILVER,Athlete,,https://olympics.com/en/athletes/tim-mastnak,Tim MASTNAK,Slovenia,SI,SLO
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,GOLD,Athlete,,https://olympics.com/en/athletes/benjamin-karl,Benjamin KARL,Austria,AT,AUT
Snowboard,beijing-2022,Men's Parallel Giant Slalom,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/vic-wild,Vic WILD,ROC,ROC,ROC
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/murase-kokomo,Kokomo MURASE,Japan,JP,JPN
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,SILVER,Athlete,,https://olympics.com/en/athletes/zoi-sadowski-synnott,Zoi SADOWSKI SYNNOTT,New Zealand,NZ,NZL
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,GOLD,Athlete,,https://olympics.com/en/athletes/anna-gasser,Anna GASSER,Austria,AT,AUT
Snowboard,beijing-2022,Men's Snowboard Cross,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/omar-visintin,Omar VISINTIN,Italy,IT,ITA
Snowboard,beijing-2022,Men's Snowboard Cross,Men,SILVER,Athlete,,https://olympics.com/en/athletes/eliot-grondin,Eliot GRONDIN,Canada,CA,CAN
Snowboard,beijing-2022,Men's Snowboard Cross,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alessandro-haemmerle,Alessandro HAEMMERLE,Austria,AT,AUT
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,GOLD,Athlete,,https://olympics.com/en/athletes/parrot,Max PARROT,Canada,CA,CAN
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,SILVER,Athlete,,https://olympics.com/en/athletes/yiming-su,Yiming SU,People's Republic of China,CN,CHN
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/mark-mcmorris,Mark MCMORRIS,Canada,CA,CAN
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jan-scherrer,Jan SCHERRER,Switzerland,CH,SUI
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ayumu-hirano,Ayumu HIRANO,Japan,JP,JPN
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,SILVER,Athlete,,https://olympics.com/en/athletes/scotty-james,Scotty JAMES,Australia,AU,AUS
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/tess-coady,Tess COADY,Australia,AU,AUS
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,SILVER,Athlete,,https://olympics.com/en/athletes/julia-marino,Julia MARINO,United States of America,US,USA
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,GOLD,Athlete,,https://olympics.com/en/athletes/zoi-sadowski-synnott,Zoi SADOWSKI SYNNOTT,New Zealand,NZ,NZL
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,SILVER,Athlete,,https://olympics.com/en/athletes/daniela-ulbing,Daniela ULBING,Austria,AT,AUT
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ester-ledecka,Ester LEDECKA,Czech Republic,CZ,CZE
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/gloria-kotnik,Gloria KOTNIK,Slovenia,SI,SLO
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,SILVER,Athlete,,https://olympics.com/en/athletes/roisland,Mons ROISLAND,Norway,NO,NOR
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,GOLD,Athlete,,https://olympics.com/en/athletes/yiming-su,Yiming SU,People's Republic of China,CN,CHN
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/parrot,Max PARROT,Canada,CA,CAN
Ski Jumping,beijing-2022,Men's Team,Men,GOLD,GameTeam,Austria,,,Austria,AT,AUT
Ski Jumping,beijing-2022,Men's Team,Men,SILVER,GameTeam,Slovenia,,,Slovenia,SI,SLO
Ski Jumping,beijing-2022,Men's Team,Men,BRONZE,GameTeam,Germany,,,Germany,DE,GER
Ski Jumping,beijing-2022,Men's LH Individual,Men,GOLD,Athlete,,https://olympics.com/en/athletes/marius-lindvik,Marius LINDVIK,Norway,NO,NOR
Ski Jumping,beijing-2022,Men's LH Individual,Men,SILVER,Athlete,,https://olympics.com/en/athletes/kobayashi,Ryoyu KOBAYASHI,Japan,JP,JPN
Ski Jumping,beijing-2022,Men's LH Individual,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/geiger,Karl GEIGER,Germany,DE,GER
Ski Jumping,beijing-2022,Mixed Team,Mixed,GOLD,GameTeam,Slovenia,,,Slovenia,SI,SLO
Ski Jumping,beijing-2022,Mixed Team,Mixed,SILVER,GameTeam,ROC,,,ROC,ROC,ROC
Ski Jumping,beijing-2022,Mixed Team,Mixed,BRONZE,GameTeam,Canada,,,Canada,CA,CAN
Ski Jumping,beijing-2022,Women's NH Individual,Women,SILVER,Athlete,,https://olympics.com/en/athletes/katharina-althaus,Katharina ALTHAUS,Germany,DE,GER
Ski Jumping,beijing-2022,Women's NH Individual,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ursa-bogataj,Ursa BOGATAJ,Slovenia,SI,SLO
Ski Jumping,beijing-2022,Women's NH Individual,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/kriznar,Nika KRIZNAR,Slovenia,SI,SLO
Ski Jumping,beijing-2022,Men's NH Individual,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/dawid-kubacki,Dawid KUBACKI,Poland,PL,POL
Ski Jumping,beijing-2022,Men's NH Individual,Men,SILVER,Athlete,,https://olympics.com/en/athletes/manuel-fettner,Manuel FETTNER,Austria,AT,AUT
Ski Jumping,beijing-2022,Men's NH Individual,Men,GOLD,Athlete,,https://olympics.com/en/athletes/kobayashi,Ryoyu KOBAYASHI,Japan,JP,JPN
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,https://olympics.com/en/athletes/mark-kondratiuk,Mark KONDRATIUK,ROC,ROC,ROC
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,https://olympics.com/en/athletes/kamila-valieva,Kamila VALIEVA,ROC,ROC,ROC
Figure skating,beijing-2022,Team Event,Mixed,SILVER,GameTeam,United States of America,,,United States of America,US,USA
Figure skating,beijing-2022,Team Event,Mixed,BRONZE,GameTeam,Japan,,,Japan,JP,JPN
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,https://olympics.com/en/athletes/wenjing-sui,Wenjing SUI,People's Republic of China,CN,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,https://olympics.com/en/athletes/cong-han,Cong HAN,People's Republic of China,CN,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,https://olympics.com/en/athletes/tarasova,Evgenia TARASOVA,ROC,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,https://olympics.com/en/athletes/morozov,Vladimir MOROZOV,ROC,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,https://olympics.com/en/athletes/anastasia-mishina,Anastasia MISHINA,ROC,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,https://olympics.com/en/athletes/aleksandr-galliamov,Aleksandr GALLIAMOV,ROC,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/gabriella-papadakis,Gabriella PAPADAKIS,France,FR,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/guillaume-cizeron,Guillaume CIZERON,France,FR,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,https://olympics.com/en/athletes/victoria-sinitsina,Victoria SINITSINA,ROC,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,https://olympics.com/en/athletes/nikita-katsalapov,Nikita KATSALAPOV,ROC,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,https://olympics.com/en/athletes/madison-hubbell,Madison HUBBELL,United States of America,US,USA
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,https://olympics.com/en/athletes/donohue,Zachary DONOHUE,United States of America,US,USA
Figure skating,beijing-2022,Women Single Skating,Women,GOLD,Athlete,,https://olympics.com/en/athletes/anna-shcherbakova,Anna SHCHERBAKOVA,ROC,ROC,ROC
Figure skating,beijing-2022,Women Single Skating,Women,SILVER,Athlete,,https://olympics.com/en/athletes/alexandra-trusova,Alexandra Trusova,ROC,ROC,ROC
Figure skating,beijing-2022,Women Single Skating,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/kaori-sakamoto,Kaori SAKAMOTO,Japan,JP,JPN
Figure skating,beijing-2022,Men Single Skating,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/shoma-uno,Shoma UNO,Japan,JP,JPN
Figure skating,beijing-2022,Men Single Skating,Men,GOLD,Athlete,,https://olympics.com/en/athletes/chen,Nathan CHEN,United States of America,US,USA
Figure skating,beijing-2022,Men Single Skating,Men,SILVER,Athlete,,https://olympics.com/en/athletes/yuma-kagiyama,Yuma KAGIYAMA,Japan,JP,JPN
Luge,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,Germany,,,Germany,DE,GER
Luge,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,Austria,,,Austria,AT,AUT
Luge,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,Latvia,,,Latvia,LV,LAT
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,https://olympics.com/en/athletes/tobias-wendl,Tobias WENDL,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,https://olympics.com/en/athletes/tobias-arlt,Tobias ARLT,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,https://olympics.com/en/athletes/toni-eggert,Toni EGGERT,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,https://olympics.com/en/athletes/sascha-benecken,Sascha BENECKEN,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,https://olympics.com/en/athletes/thomas-steu,Thomas STEU,Austria,AT,AUT
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,https://olympics.com/en/athletes/lorenz-koller,Lorenz KOLLER,Austria,AT,AUT
Luge,beijing-2022,Men's Singles,Men,SILVER,Athlete,,https://olympics.com/en/athletes/wolfgang-kindl,Wolfgang KINDL,Austria,AT,AUT
Luge,beijing-2022,Men's Singles,Men,GOLD,Athlete,,https://olympics.com/en/athletes/johannes-ludwig,Johannes LUDWIG,Germany,DE,GER
Luge,beijing-2022,Men's Singles,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/dominik-fischnaller,Dominik FISCHNALLER,Italy,IT,ITA
Luge,beijing-2022,Women's Singles,Women,SILVER,Athlete,,https://olympics.com/en/athletes/anna-berreiter,Anna BERREITER,Germany,DE,GER
Luge,beijing-2022,Women's Singles,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/tatyana-ivanova,Tatyana IVANOVA,ROC,ROC,ROC
Luge,beijing-2022,Women's Singles,Women,GOLD,Athlete,,https://olympics.com/en/athletes/natalie-geisenberger,Natalie GEISENBERGER,Germany,DE,GER
Ice Hockey,beijing-2022,Men,Men,GOLD,GameTeam,Finland,,,Finland,FI,FIN
Ice Hockey,beijing-2022,Men,Men,SILVER,GameTeam,ROC,,,ROC,ROC,ROC
Ice Hockey,beijing-2022,Men,Men,BRONZE,GameTeam,Slovakia,,,Slovakia,SK,SVK
Ice Hockey,beijing-2022,Women,Women,GOLD,GameTeam,Canada,,,Canada,CA,CAN
Ice Hockey,beijing-2022,Women,Women,SILVER,GameTeam,United States,,,United States of America,US,USA
Ice Hockey,beijing-2022,Women,Women,BRONZE,GameTeam,Finland,,,Finland,FI,FIN
